Chojnice,chojnicki,pomorskie,"21,04",40 306,1916
Chojnów,legnicki,dolnośląskie,"5,32",14 210,2671
Choroszcz,białostocki,podlaskie,"16,79",5728,341
Chorzele,przasnyski,mazowieckie,"17,51",2981,170
Chorzów,Chorzów[1],śląskie,"33,24",111 168,3344
Choszczno,choszczeński,zachodniopomorskie,"9,58",15 800,1649
Chrzanów,chrzanowski,małopolskie,"38,32",38 420,1003
Ciechanowiec,wysokomazowiecki,podlaskie,"19,53",4833,247
Ciechanów,ciechanowski,mazowieckie,"32,78",44 974,1372
Ciechocinek,aleksandrowski,kujawsko-pomorskie,"15,26",10 791,707
Cieszanów,lubaczowski,podkarpackie,"15,06",1962,130
Cieszyn,cieszyński,śląskie,"28,61",36 119,1262
Ciężkowice,tarnowski,małopolskie,"9,99",2480,248
Cybinka,słubicki,lubuskie,"5,29",2834,536
Czaplinek,drawski,zachodniopomorskie,"13,62",7200,529
Czarna Białostocka,białostocki,podlaskie,"14,28",9737,682
Czarna Woda,starogardzki,pomorskie,"27,73",3303,119
Czarne,człuchowski,pomorskie,"46,43",6107,132
Czarnków,czarnkowsko-trzcianecki,wielkopolskie,"10,04",11 305,1126
Czchów,brzeski,małopolskie,"14,09",2364,168
Czechowice-Dziedzice,bielski,śląskie,"32,91",35 543,1080
Czeladź,będziński,śląskie,"16,38",33 345,2036
Czempiń,kościański,wielkopolskie,"3,32",5288,1593
Czerniejewo,gnieźnieński,wielkopolskie,"10,19",2662,261
Czersk,chojnicki,pomorskie,"9,73",10 045,1032
Czerwieńsk,zielonogórski,lubuskie,"9,36",4233,452
Czerwionka-Leszczyny,rybnicki,śląskie,"37,63",28 534,758
Częstochowa,Częstochowa[1],śląskie,"159,71",234 472,1468
Człopa,wałecki,zachodniopomorskie,"6,27",2335,372
Człuchów,człuchowski,pomorskie,"12,78",14 536,1137
Czyżew,wysokomazowiecki,podlaskie,"5,23",2634,504
Ćmielów,ostrowiecki,świętokrzyskie,"13,34",3183,239
Daleszyce,kielecki,świętokrzyskie,"15,50",2929,189
Darłowo,sławieński,zachodniopomorskie,"20,21",14 308,708
Dąbie,kolski,wielkopolskie,"8,80",2099,239
Dąbrowa Białostocka,sokólski,podlaskie,"22,64",5991,265
Dąbrowa Górnicza,Dąbrowa Górnicza[1],śląskie,"188,73",124 701,661
Dąbrowa Tarnowska,dąbrowski,małopolskie,"23,07",11 861,514
Debrzno,człuchowski,pomorskie,"7,51",5241,698
Dębica,dębicki,podkarpackie,"33,83",47 180,1395
Dęblin,rycki,lubelskie,"38,33",17 267,450
Dębno,myśliborski,zachodniopomorskie,"19,51",14 124,724
Dobczyce,myślenicki,małopolskie,"12,97",6417,495
Dobiegniew,strzelecko-drezdenecki,lubuskie,"5,69",3204,563
Dobra,łobeski,zachodniopomorskie,"2,37",2362,997
Dobra,turecki,wielkopolskie,"1,84",1453,790
Dobre Miasto,olsztyński,warmińsko-mazurskie,"4,86",10 661,2194
Dobrodzień,oleski,opolskie,"19,53",3825,196
Dobrzany,stargardzki,zachodniopomorskie,"5,34",2378,445
Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,"5,41",2294,424
Dolsk,śremski,wielkopolskie,"6,20",1550,250
Drawno,choszczeński,zachodniopomorskie,"5,03",2364,470
Drawsko Pomorskie,drawski,zachodniopomorskie,"22,33",11 895,533
Drezdenko,strzelecko-drezdenecki,lubuskie,"10,72",10 491,979
Drobin,płocki,mazowieckie,"9,65",2999,311
Drohiczyn,siemiatycki,podlaskie,"15,69",2121,135
Drzewica,opoczyński,łódzkie,"4,81",3994,830
Dukla,krośnieński,podkarpackie,"5,48",2194,400
Duszniki-Zdrój,kłodzki,dolnośląskie,"22,28",4977,223
Dynów,rzeszowski,podkarpackie,"24,55",6195,252
Działdowo,działdowski,warmińsko-mazurskie,"11,47",21 589,1882
Działoszyce,pińczowski,świętokrzyskie,"1,92",1009,526
Działoszyn,pajęczański,łódzkie,"4,94",6264,1268
Dzierzgoń,sztumski,pomorskie,"3,90",5640,1446
Dzierżoniów,dzierżoniowski,dolnośląskie,"20,07",34 679,1728
Dziwnów,kamieński,zachodniopomorskie,"4,97",2779,559
Elbląg,Elbląg[1],warmińsko-mazurskie,"79,82",123 659,1549
Ełk,ełcki,warmińsko-mazurskie,"21,05",59 646,2834
Frampol,biłgorajski,lubelskie,"4,67",1493,320
Frombork,braniewski,warmińsko-mazurskie,"7,59",2458,324
Garwolin,garwoliński,mazowieckie,"22,08",17 147,777
Gąbin,płocki,mazowieckie,"27,95",4174,149
Gdańsk,Gdańsk[1],pomorskie,"261,96",460 427,1758
Gdynia,Gdynia[1],pomorskie,"135,14",248 726,1841
Giżycko,giżycki,warmińsko-mazurskie,"13,72",30 096,2194
Glinojeck,ciechanowski,mazowieckie,"7,37",3142,426
Gliwice,Gliwice[1],śląskie,"133,88",186 210,1391
Głogów,głogowski,dolnośląskie,"35,11",69 185,1971
Głogów Małopolski,rzeszowski,podkarpackie,"13,71",6014,439
Głogówek,prudnicki,opolskie,"22,06",5756,261
Głowno,zgierski,łódzkie,"19,84",14 966,754
Głubczyce,głubczycki,opolskie,"12,54",13 052,1041
Głuchołazy,nyski,opolskie,"6,83",14 382,2106
Głuszyca,wałbrzyski,dolnośląskie,"16,21",6739,416
Gniew,tczewski,pomorskie,"6,04",6915,1145
Gniewkowo,inowrocławski,kujawsko-pomorskie,"9,18",7368,803
Gniezno,gnieźnieński,wielkopolskie,"40,60",70 141,1728
Gogolin,krapkowicki,opolskie,"20,35",6512,320
Golczewo,kamieński,zachodniopomorskie,"7,42",2756,371
